item_id,tracking,verdict,db_status,live_status,sponsors_match,votes_match
28005,CMA 2025 #62,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
8898,POR 2019 #108,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
11960,RES 2020 #149,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
14713,RES 2021 #216,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
30974,AR-25-55,exact,REPORT RECEIVED AND ACCEPTED,REPORT RECEIVED AND ACCEPTED,True,True
11766,POR 2020 #98,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
20304,POR 2023 #145,exact,ORDER ADOPTED AS AMENDED [UNANIMOUS],ORDER ADOPTED AS AMENDED [UNANIMOUS],True,True
21196,CMA 2023 #282,exact,PLACED ON FILE [UNANIMOUS],PLACED ON FILE [UNANIMOUS],True,True
12993,CMA 2020 #259,exact,PLACED ON FILE [UNANIMOUS],PLACED ON FILE [UNANIMOUS],True,True
22349,POR 2024 #33,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
17916,RES 2023 #94,exact,ORDER ADOPTED AS AMENDED [8 TO 0],ORDER ADOPTED AS AMENDED [8 TO 0],True,True
10701,POR 2019 #355,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
12024,CMA 2020 #132,exact,REFERRED,REFERRED,True,True
12891,POR 2020 #246,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
9410,CMA 2019 #154,exact,ORDER ADOPTED [8 TO 0],ORDER ADOPTED [8 TO 0],True,True
21640,APP 2023 #60,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
26191,CMA 2024 #251,exact,PLACED ON FILE [8 TO 0],PLACED ON FILE [8 TO 0],True,True
6738,POR 2018 #92,exact,ORDER ADOPTED,ORDER ADOPTED,True,True
29264,RES 2025 #97,exact,ORDER ADOPTED [8 TO 0],ORDER ADOPTED [8 TO 0],True,True
25945,RES 2024 #255,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
12987,CMA 2020 #260,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
12842,RES 2020 #265,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
26956,ARS-25-1,exact,,,True,True
12759,POR 2020 #227,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
13891,APP 2021 #15,exact,ORDER ADOPTED [UNANIMOUS],ORDER ADOPTED [UNANIMOUS],True,True
